,uniqueid,gun,gun_strict,gun_post,gun_strict_post,woman,party,first_post_date,last_post_date,num_media,num_posts
77,Gallego AZ-3,11.0,0,13,0,Gallego AZ-3,D,2016-06-02,2025-01-29,1613,1143
78,Garbarino NY-2,33.0,0,129,0,Garbarino NY-2,R,2020-03-11,2024-05-01,1685,955
79,Garcia CA-27,22.0,0,44,0,Garcia CA-27,R,2020-06-05,2024-12-07,991,749
80,Gimenez FL-28,14.0,1,34,3,Gimenez FL-28,R,2021-01-03,2024-12-06,2052,1534
81,Gonzales TX-23,0.0,0,0,0,Gonzales TX-23,R,2019-05-16,2020-08-30,25,24
82,Good VA-5,14.0,1,31,5,Good VA-5,R,2021-12-25,2024-09-11,750,418
83,Gooden TX-5,4.0,0,7,0,Gooden TX-5,R,2020-02-04,2024-10-25,1359,1146
84,Gosar AZ-9,0.0,0,0,0,Gosar AZ-9,R,2022-02-10,2023-07-12,323,306
85,Granger TX-12,4.0,0,12,0,Granger TX-12,R,2017-12-07,2024-01-26,261,147
86,Graves LA-6,6.0,1,16,1,Graves LA-6,R,2014-05-26,2024-10-19,1697,1043
87,Graves MO-6,3.0,1,6,5,Graves MO-6,R,2016-08-25,2024-05-19,678,283
88,Green TN-7,19.0,6,38,21,Green TN-7,R,2019-10-04,2024-04-15,1646,1186
89,Greene GA-14,91.0,52,99,56,Greene GA-14,R,2019-08-20,2024-05-12,8274,7700
90,Griffith VA-9,16.0,1,45,2,Griffith VA-9,R,2013-04-11,2024-04-05,1400,780
91,Grijalva AZ-7,8.0,0,15,0,Grijalva AZ-7,D,2017-06-21,2024-12-16,1646,1021
92,Grothman WI-6,21.0,4,31,4,Grothman WI-6,R,2017-05-04,2024-04-26,3297,2502
93,Guest MS-3,29.0,4,53,9,Guest MS-3,R,2019-03-28,2024-09-20,2411,1901
94,Guthrie KY-2,1.0,0,1,0,Guthrie KY-2,R,2014-05-14,2024-05-07,288,248
95,Hageman WY-1,3.0,2,8,7,Hageman WY-1,R,2021-09-09,2024-12-13,798,585
96,Harris MD-1,6.0,2,6,2,Harris MD-1,R,2018-11-14,2024-09-18,838,677
97,Harshbarger TN-1,5.0,1,7,1,Harshbarger TN-1,R,2020-03-11,2023-10-12,181,141
98,Hern OK-1,1.0,0,1,0,Hern OK-1,R,2019-04-07,2024-04-19,129,90
99,Higgins LA-3,23.0,0,64,0,Higgins LA-3,R,2017-03-21,2024-10-31,876,402
100,Hill AR-2,28.0,11,42,11,Hill AR-2,R,2016-06-21,2024-11-11,2876,2035
101,Hinson IA-2,21.0,1,53,4,Hinson IA-2,R,2015-11-30,2024-05-08,2408,1529
102,Houchin IN-9,1.0,0,4,0,Houchin IN-9,R,2023-01-07,2024-07-31,451,196
103,Hudson NC-9,12.0,0,27,0,Hudson NC-9,R,2013-01-08,2024-04-25,849,652
104,Huizenga MI-4,16.0,1,29,1,Huizenga MI-4,R,2015-05-08,2024-05-07,1031,846
105,Hunt TX-38,20.0,0,29,0,Hunt TX-38,R,2023-02-02,2025-01-15,3151,2853
106,Issa CA-48,3.0,0,4,0,Issa CA-48,R,2021-09-08,2024-11-19,295,197
107,Jackson TX-13,1.0,1,1,1,Jackson TX-13,R,2021-01-03,2024-04-12,322,198
108,James MI-10,26.0,11,54,21,James MI-10,R,2017-10-05,2025-01-17,2429,1770
109,Johnson LA-4,6.0,0,20,0,Johnson LA-4,R,2017-02-08,2024-09-24,646,323
110,Johnson OH-6,5.0,0,5,0,Johnson OH-6,R,2013-12-09,2023-11-15,876,737
111,Johnson SD,8.0,1,29,1,Johnson SD,R,2019-11-06,2024-10-31,2330,1092
112,Jordan OH-4,1.0,1,1,1,Jordan OH-4,R,2021-10-29,2024-04-04,134,121
113,Joyce OH-14,15.0,1,39,1,Joyce OH-14,R,2013-04-25,2024-04-25,1200,864
114,Joyce PA-13,0.0,0,0,0,Joyce PA-13,R,2018-03-28,2023-03-07,90,75
115,Kean NJ-7,8.0,0,22,0,Kean NJ-7,R,2022-06-27,2025-01-23,1076,632
116,Kelly MS-1,6.0,0,11,0,Kelly MS-1,R,2016-02-17,2024-11-01,643,549
117,Kelly PA-16,2.0,0,8,0,Kelly PA-16,R,2018-02-24,2022-12-29,475,131
118,Kiggans VA-2,98.0,5,328,10,Kiggans VA-2,R,2019-04-09,2024-12-13,8364,3360
119,Kiley CA-3,3.0,0,4,0,Kiley CA-3,R,2019-04-18,2024-12-15,1620,1384
120,Kim CA-40,97.0,1,367,10,Kim CA-40,R,2018-03-21,2024-11-23,4796,1837
121,Kustoff TN-8,35.0,2,100,6,Kustoff TN-8,R,2016-03-31,2024-04-15,5075,2957
122,LaHood IL-16,1.0,0,7,0,LaHood IL-16,R,2020-11-20,2024-05-01,232,88
123,LaLota NY-1,24.0,2,35,3,LaLota NY-1,R,2022-02-19,2025-01-24,2238,1481
124,LaMalfa CA-1,0.0,0,0,0,LaMalfa CA-1,R,2015-07-15,2024-05-07,182,122
125,LaTurner KS-2,0.0,0,0,0,LaTurner KS-2,R,2019-08-12,2024-04-25,290,236
126,Lamborn CO-5,4.0,0,17,0,Lamborn CO-5,R,2013-05-06,2021-06-14,313,245
127,Langworthy NY-23,24.0,4,109,14,Langworthy NY-23,R,2012-05-26,2025-01-16,2613,940
128,Latta OH-5,33.0,3,86,7,Latta OH-5,R,2012-04-25,2024-04-11,3032,1594
129,Lawler NY-17,52.0,2,246,6,Lawler NY-17,R,2023-02-13,2025-01-20,6317,3042
130,Lee FL-15,16.0,1,34,2,Lee FL-15,R,2023-01-09,2024-12-16,827,620
131,Lesko AZ-8,9.0,0,17,0,Lesko AZ-8,R,2018-09-18,2024-06-04,1547,1291
132,Letlow LA-5,17.0,3,35,7,Letlow LA-5,R,2021-01-14,2024-11-11,1695,965
133,Lopez CO-4,6.0,0,12,0,Lopez CO-4,R,2021-10-24,2024-12-13,484,380
134,Loudermilk GA-11,26.0,2,53,5,Loudermilk GA-11,R,2015-01-28,2024-11-11,1690,1207
135,Lucas OK-3,3.0,0,4,0,Lucas OK-3,R,2014-03-26,2024-04-23,496,341
136,Luetkemeyer MO-3,2.0,0,2,0,Luetkemeyer MO-3,R,2013-12-19,2020-04-21,460,451
137,Luna FL-13,66.0,30,84,40,Luna FL-13,R,2012-08-07,2025-01-01,3590,3155
138,Luttrell TX-8,7.0,0,13,0,Luttrell TX-8,R,2023-01-06,2024-12-19,751,546
139,Mace SC-1,62.0,21,113,39,Mace SC-1,R,2018-02-26,2024-04-16,6891,5391
140,Malliotakis NY-11,22.0,2,39,2,Malliotakis NY-11,R,2013-03-05,2024-05-05,6048,5625
141,Maloy UT-2,4.0,1,9,1,Maloy UT-2,R,2023-06-28,2024-12-12,697,494
142,Mann KS-1,10.0,1,13,1,Mann KS-1,R,2021-01-05,2024-05-08,1499,1098
143,Massie KY-4,3.0,1,3,1,Massie KY-4,R,2012-12-05,2024-05-03,371,328
144,Mast FL-21,24.0,1,61,1,Mast FL-21,R,2017-01-26,2024-06-05,3091,2251
145,McCarthy CA-20,24.0,3,63,3,McCarthy CA-20,R,2012-11-14,2024-09-10,2908,1887
146,McCaul TX-10,15.0,3,30,13,McCaul TX-10,R,2015-01-25,2024-04-01,912,589
147,McClain MI-9,15.0,5,32,11,McClain MI-9,R,2019-11-04,2025-01-20,1464,1222
148,McClintock CA-5,10.0,0,10,0,McClintock CA-5,R,2020-06-19,2024-10-30,858,683
149,McCormick GA-6,2.0,0,2,0,McCormick GA-6,R,2019-08-07,2023-01-04,365,307
150,McHenry NC-10,1.0,0,4,0,McHenry NC-10,R,2013-04-15,2024-04-11,360,272
151,McMorris Rodgers WA-5,5.0,0,5,0,McMorris Rodgers WA-5,R,2013-01-22,2024-06-16,921,700
152,Meuser PA-9,9.0,0,18,0,Meuser PA-9,R,2019-09-12,2024-04-17,910,776
153,Miller IL-15,26.0,16,33,18,Miller IL-15,R,2019-10-04,2024-07-01,1179,952
154,Miller OH-7,10.0,1,18,1,Miller OH-7,R,2021-02-27,2024-12-17,1120,738
155,Miller WV-1,0.0,0,0,0,Miller WV-1,R,2019-01-07,2024-02-14,159,95
156,Miller-Meeks IA-1,11.0,0,15,0,Miller-Meeks IA-1,R,2021-02-14,2024-05-09,1398,1128
157,Mills FL-7,15.0,0,25,0,Mills FL-7,R,2021-08-05,2024-12-25,1061,801
158,Molinaro NY-19,38.0,0,146,0,Molinaro NY-19,R,2023-04-02,2025-01-09,5473,2851
159,Moolenaar MI-2,13.0,0,19,0,Moolenaar MI-2,R,2015-08-13,2024-05-03,918,834
160,Mooney WV-2,7.0,2,10,4,Mooney WV-2,R,2015-07-08,2024-04-26,836,659
161,Moore AL-2,10.0,2,20,2,Moore AL-2,R,2013-12-07,2024-06-04,943,483
162,Moore UT-1,10.0,3,35,4,Moore UT-1,R,2020-03-21,2024-04-10,1219,639
